;GeoId;Attr1;Attr2;Attr3;Attr4;Attr5;Attr6;Attr7;Attr8;Attr9;Attr10;Attr11;Attr12;Attr13;Attr14;Attr15;Attr16;Attr17;Attr18;Attr19;Attr20;Attr21;Attr22;Attr23;Attr24;Attr25;Attr26;Attr27;Attr28;Attr29;Attr30;Attr31;Attr32;Attr33;Attr34;Attr35;Attr36;Attr37;Attr38;Attr39;Attr40;Attr41;Attr42;Attr43;Attr44;Attr45;Attr46;Attr47;Attr48;Attr49;Attr50;Attr51;Attr52;Attr53;Attr54;Attr55;Attr56;Attr57;Attr58;Attr59;Attr60;Attr61;Attr62;Attr63;Attr64;Attr65;Attr66;Attr67;Attr68;Attr69;Attr70;Attr71;Attr72;Attr73;Attr74;Attr75;Attr76;Attr77;Attr78;Attr79
1;fc3f49f4a1e3f928b3e98c606ccb1da2;0;1;1;6;1;0;2;1;4;0;1;1;5;2;3;2;1;3;0;4;5;0;9;8;8;9;6;0;0;0;5;7;2;2;9;9;8;9;9;8;8;6;9;9;4;3;9;5;8;9;9;9;8;5;5;5;6;3;9;9;8;9;9;9;3;3;1;3;5;9;3;4;0;1;0;0;2;7;4
2;fc19ae7cf6355599ca723f97daecdf06;0;2;1;3;1;0;2;2;6;0;1;0;3;4;1;1;1;3;0;3;2;0;7;8;7;9;4;0;0;1;2;4;1;4;9;8;7;3;8;7;6;5;4;2;4;6;6;4;3;9;5;3;5;5;7;8;5;5;2;9;7;7;5;9;3;9;3;9;9;4;7;2;0;0;0;0;2;6;2
3;5e4ec8e68ae5642f5aefc7c25ef2cf6e;0;2;1;3;1;0;2;2;6;0;1;0;1;4;3;2;1;3;0;4;2;0;5;6;6;6;7;0;0;1;2;7;1;2;9;9;8;2;7;6;5;1;6;3;7;5;6;7;2;8;1;2;1;7;7;8;5;6;4;5;6;5;7;9;8;9;4;8;9;1;9;2;0;0;0;0;3;8;2
4;3efccfb01f06aa81267af350b4fb5108;0;1;1;2;1;0;2;1;7;0;1;3;2;6;1;1;1;3;0;3;3;0;1;1;1;1;6;0;0;0;2;3;1;2;1;5;8;1;1;2;4;9;1;1;2;9;1;8;1;1;4;2;3;9;8;1;7;9;4;1;3;1;2;1;9;5;1;6;7;1;9;2;0;0;1;0;5;8;1
5;180a55560cc013bf1451c168182e21b4;0;1;1;1;1;0;2;2;7;0;1;0;4;4;3;1;1;3;0;2;5;0;6;6;9;7;8;0;0;1;2;4;1;5;9;9;2;4;3;9;7;4;6;3;2;6;7;8;4;9;7;4;5;6;7;9;5;7;9;9;7;8;9;7;4;9;5;9;8;4;6;1;0;0;0;1;3;3;3
6;80c26daed16c05713ea1ce38de52a9e6;0;1;1;7;1;0;1;2;6;0;1;0;5;3;3;1;1;3;1;2;5;0;9;8;9;9;8;0;0;1;1;8;3;5;9;8;4;5;8;9;6;5;9;9;1;2;9;8;7;9;8;4;8;6;6;9;7;5;7;9;9;9;9;9;3;5;3;7;4;9;1;2;0;0;0;0;3;2;3
7;c16c1177790835944174cf96838f73be;0;1;1;2;1;0;2;2;6;0;1;2;3;4;3;1;1;3;0;2;3;0;2;3;5;2;6;0;0;0;2;8;1;5;8;8;1;3;5;7;4;8;5;2;4;6;1;8;5;8;5;3;6;7;8;5;6;7;8;7;7;6;9;8;8;7;2;9;2;3;8;1;0;0;0;0;5;2;2
8;e1fb6c765afeadc456cc6c5fcc70654f;2;171;4;5;1;0;2;3;4;0;2;4;1;6;1;2;2;2;0;3;1;0;5;2;2;4;5;0;0;1;4;9;1;2;8;8;9;9;2;6;9;6;2;5;4;8;8;5;6;4;9;9;9;9;9;6;9;9;8;1;8;9;3;4;7;9;8;4;9;4;5;5;0;0;1;0;3;9;1
9;515275e870a3f251be14a98c407492a9;0;1;1;5;1;0;1;2;4;0;1;2;3;4;3;2;1;3;1;1;3;0;5;6;7;8;6;0;0;0;2;4;1;4;6;8;5;3;9;8;5;5;6;7;6;1;6;5;5;9;5;4;5;8;7;9;5;5;3;8;7;5;7;9;7;5;1;8;9;6;4;4;0;0;0;0;3;4;2
10;ce66a48f19532b39472d6d45b0264a43;0;1;1;7;1;0;2;2;3;0;1;0;3;5;3;3;1;3;0;2;2;0;8;6;8;7;6;0;0;1;2;6;3;4;8;5;9;3;5;7;8;4;3;8;6;6;8;4;8;7;5;4;7;5;9;9;9;8;9;9;8;6;3;7;7;9;5;5;5;3;7;4;0;0;1;0;3;8;1
